"title","query","authors","categories","description","published","previewLink","industryId",
"Handbook of Risk Theory: Introduction to risk theory; General issues in risk theory; Specific risks; Decision theory and risk","intitle:risk","[Sabine Roeser]","[Decision making]",,"2012","http://books.google.es/books?id=JlMVmwEACAAJ&dq=intitle:risk&hl=&cd=1&source=gbs_api","9400714343",
"Portfolio Risk Diversification, Coherent Risk Measures and Risk Mapping, Risk Contribution Analysis and the Setting of Risk Limits. A Thesis Presented in Partial Fulfillment of the Requirements for the Degree of Master of Business Studies in Finance at Massey University","intitle:risk","[Mui Kuen Yuen]","[Portfolio management]",,"2003","http://books.google.es/books?id=aAK2MAAACAAJ&dq=intitle:risk&hl=&cd=2&source=gbs_api","OCLC:156755967",
"Handbook of Risk Theory: Risk perception; Risk ethics; Risk in society","intitle:risk","[Sabine Roeser]","[Decision making]",,"2012","http://books.google.es/books?id=FcTfmgEACAAJ&dq=intitle:risk&hl=&cd=3&source=gbs_api","9400714327",
"Methodological Approaches for the Estimation, Evaluation, Interpretation and Accuracy Assessment of Road Travel 'basic Risk', 'relative Risk', and 'relative Risk Odds-ratio' Performance Measure Indicators: a 'risk Analysis and Evaluation System Model' for Measuring, Monitoring, Comparing and Evaluating the Level(s) of Safety on Canada's Roads and Highways","intitle:risk","[D. E. Stewart]","[Traffic safety]",,"1998","http://books.google.es/books?id=p9-PNwAACAAJ&dq=intitle:risk&hl=&cd=4&source=gbs_api","OCLC:173306812",
"Classification by multivariate analysis with objectives of minimizing risk, minimizing maximum risk, and minimizing probability of misclassification","intitle:risk","[Murray Clemens Johnson]","[Mathematics]",,"1954","http://books.google.es/books?id=xLooAQAAMAAJ&dq=intitle:risk&hl=&cd=5&source=gbs_api","MINN:31951T00403189M",
"A General Equilibrium Model of Exchange Risk, Country Risk, and International Capital Market Risk","intitle:risk","[Alexandra Iwanchuk Bibbee]",,,"1988","http://books.google.es/books?id=ro5pAAAAMAAJ&dq=intitle:risk&hl=&cd=6&source=gbs_api","WISC:89097217558",
"Risk makers, risk takers, risk breakers. reducing the risks for young literacy learners","intitle:risk","[JoBeth Allen, Jana M. Mason]","[Education]",,"1989-03","http://books.google.es/books?id=Gg2fAAAAMAAJ&dq=intitle:risk&hl=&cd=7&source=gbs_api","UOM:39015014937596",
"Global Risk Assessments, Issues, Concepts & Applications in Business Environment Risk Assessment, Country, Investment & Trade Risk Analysis, Political Risk Assessment & Management","intitle:risk",,"[Investments, Foreign]",,"1997","http://books.google.es/books?id=kTcWAQAAMAAJ&dq=intitle:risk&hl=&cd=8&source=gbs_api","0914325035",
"Risk and Risk Bearing","intitle:risk","[Charles Oscar Hardy]",,,"2012-08","http://books.google.es/books?id=IhOCMQEACAAJ&dq=intitle:risk&hl=&cd=9&source=gbs_api","1258454394",
"Environmental Risk: Fundamental critiques, institutional choice, alternatives to risk: the precautionary principle","intitle:risk","[John S. Applegate]","[Environmental risk assessment]",,"2004","http://books.google.es/books?id=ALaRRAAACAAJ&dq=intitle:risk&hl=&cd=10&source=gbs_api","0754623351",
"Global Risk Assessments, Issues, Concepts & Applications in Business Environment Risk Assessment, Country, Investment & Trade Risk Analysis, Political Risk Assessment & Management","intitle:risk","[Jerry Rogers, Global Risk Assessments, Inc]","[Investments, Foreign]",,"1983","http://books.google.es/books?id=yI8InwEACAAJ&dq=intitle:risk&hl=&cd=11&source=gbs_api","LCCN:84641589",
"Good Practice in Risk Assessment and Risk Management 2. Protection, Rights and Responsibilities","intitle:risk","[Hazel Kemshall, Jacki Pritchard]","[Risk assessment.]","The companion volume to Good Practice in Risk Assessment 1 looks at further issues in the field of risk assessment. Managers are under increasing pressure to predict risk accurately, and face serious consequences for failure. This new collection explores the arguments and means of assessment in a clear and accessible manner and with a practice-based emphasis. The contributors consider subjects as varied as child adoption, violence, mental health, alcohol and suicide in a wide range of social care settings, all linked by the difficulty of accurately assessing risk.","1997","http://books.google.es/books?id=c35p6PbeP0oC&printsec=frontcover&dq=intitle:risk&hl=&cd=12&source=gbs_api","1853024414",
"Characteristics of ruin probabilities in classical risk models with and without investment, Cox risk models and perturbed risk models","intitle:risk","[Hanspeter Schmidli]","[Business & Economics]",,"2000","http://books.google.es/books?id=-RnvAAAAMAAJ&dq=intitle:risk&hl=&cd=13&source=gbs_api","UOM:39015056629069",
"Risk Preception, Risk Communication and Its Application to EMF Exposure. Proceedings, International Seminar on Risk Perception, Risk Communication and Its Applications to EMF Exposure, Vienna, Austria, October 22 and 23, 1997","intitle:risk","[World Health Organization]","[Risk communication]",,"1998","http://books.google.es/books?id=ztETngEACAAJ&dq=intitle:risk&hl=&cd=14&source=gbs_api","3980478947",
