"title","query","authors","categories","description","published","previewLink","industryId",
"Market Discipline Under Systemic Risk. Evidence from Bank Runs in Emerging Economies","intitle:market+intitle:systemic","[Eduardo Levy Yeyati, Maria Soledad Martinez Peria, Sergio L. Schmukler]","[Capital market]","""Levy-Yeyati, Martinez Peria, and Schmukler show that systemic risk exerts a significant impact on the behavior of depositors, sometimes overshadowing their responses to standard bank fundamentals. Systemic risk can affect market discipline both regardless of and through bank fundamentals. First, worsening systemic conditions can directly threaten the value of deposits by way of dual agency problems. Second, to the extent that banks are exposed to systemic risk, systemic shocks lead to a future deterioration of fundamentals not captured by their current values. Using data from the recent banking crises in Argentina and Uruguay, the authors show that market discipline is indeed quite robust once systemic risk is factored in. As systemic risk increases, the informational content of past fundamentals declines. These episodes also show how few systemic shocks can trigger a run irrespective of ex-ante fundamentals. Overall, the evidence suggests that in emerging economies, the notion of market discipline needs to account for systemic risk. This paper--a product of the Finance Team, Development Research Group--is part of a larger effort in the group to study market discipline""--World Bank web site.","2004","http://books.google.es/books?id=Cx8z4mvVHYYC&printsec=frontcover&dq=intitle:market%2Bintitle:systemic&hl=&cd=1&source=gbs_api","Market Discipline U",
"Global Market Conditions and Systemic Risk (EPub)","intitle:market+intitle:systemic","[Heiko Hesse, Brenda González-Hermosillo]",,"This paper examines several key global market conditions, such as a proxy for market uncertainty and measures of interbank funding stress, to assess financial volatility and the likelihood of crisis. Using Markov regime-switching techniques, it shows that the Lehman Brothers failure was a watershed event in the crisis, although signs of heightened systemic risk could be detected as early as February 2007. In addition, we analyze the role of global market conditions to help determine when governments should begin to exit their extraordinary public support measures.","2009-10-01","http://books.google.es/books?id=GoRRw8G1AAYC&printsec=frontcover&dq=intitle:market%2Bintitle:systemic&hl=&cd=2&source=gbs_api","1452786380",
"Market-Oriented Systemic Transformations in Eastern Europe. Problems, Theoretical Issues and Policy Options","intitle:market+intitle:systemic","[Paul J. J. Welfens]","[Business & Economics]","Socialist economies in Eastern Europe have collapsed and em-barked upon market-oriented reforms. The causes of thedemise of centrally planned economies are analyzed and thebasic challenges of systemic tranformation discussed.Negative income and wealth effects as well as distributionissues make adjustment extremely difficult. The fundamentalroles of privatization and foreign investment are adressed.Foreign economic liberalization is considered to be ofcentralimportance for a growth-oriented adjustment path ina stage of conflict-prone policy and options.Politico-economic aspects of the new European developmentsin addition to North-South issues are analyzed. Difficultchoices await decison-makers in economic policy and thebusiness community in Eastern Europe and in leading marketeconomies.","1992","http://books.google.es/books?id=Bll0UWt7S3EC&printsec=frontcover&dq=intitle:market%2Bintitle:systemic&hl=&cd=3&source=gbs_api","3540557938",
"Market-Based Policy Instruments for Systemic Bank Restructuring","intitle:market+intitle:systemic","[Tamim Bayoumi, Paul R. Masson]","[Banks and banking]",,"1998-08-01","http://books.google.es/books?id=5W5AUzasmIwC&printsec=frontcover&dq=intitle:market%2Bintitle:systemic&hl=&cd=4&source=gbs_api","1451944233",
"Market-Based Policy Instruments for Systemic Bank Restructuring (EPub)","intitle:market+intitle:systemic","[Tamim Bayoumi, Paul R. Masson]",,,"1998-08-01","http://books.google.es/books?id=YT2vXaO3eoYC&printsec=frontcover&dq=intitle:market%2Bintitle:systemic&hl=&cd=5&source=gbs_api","1452766371",
"Bank Market Structure, Systemic Risk and Interbank Market Breakdowns","intitle:market+intitle:systemic","[Marcella Lucchetta]",,,"2010","http://books.google.es/books?id=ad_iXwAACAAJ&dq=intitle:market%2Bintitle:systemic&hl=&cd=6&source=gbs_api","OCLC:728276094",
"Collateral, Netting and Systemic Risk in the OTC Derivatives Market (EPub)","intitle:market+intitle:systemic","[Manmohan Singh]",,"To mitigate systemic risk, some regulators have advocated the greater use of centralized counterparties (CCPs) to clear Over-The-Counter (OTC) derivatives trades. Regulators should be cognizant that large banks active in the OTC derivatives market do not hold collateral against all the positions in their trading book and the paper proves an estimate of this under-collateralization. Whatever collateral is held by banks is allowed to be rehypothecated (or re-used) to others. Since CCPs would require all positions to have collateral against them, off-loading a significant portion of OTC derivatives transactions to central counterparties (CCPs) would require large increases in posted collateral, possibly requiring large banks to raise more capital. These costs suggest that most large banks will be reluctant to offload their positions to CCPs, and the paper proposes an appropriate capital levy on remaining positions to encourage the transition.","2010-04-01","http://books.google.es/books?id=JIpd5zMZ__EC&printsec=frontcover&dq=intitle:market%2Bintitle:systemic&hl=&cd=7&source=gbs_api","1452756090",
"The Limits of Market-Based Risk Transfer and Implications for Managing Systemic Risks","intitle:market+intitle:systemic","[Yoon Sook Kim, Paul S. Mills, Todd Groome, François Haas, John Kiff, Shinobu Nakagawa, Parmeshwar Ramlogan, Oksana Khadarina, Nicolas R. Blancher, William Lee]",,"The paper discusses the limits to market-based risk transfer in the financial system and the implications for the management of systemic long-term financial risks. Financial instruments or markets to transfer and better manage these risks across institutions and sectors are, as yet, either nascent or nonexistent. As such, the paper investigates why these markets remain ""incomplete."" It also explores a range of options by which policymakers may encourage the development of these markets as part of governments' role as a risk manager.","2006-10-01","http://books.google.es/books?id=cHfQi8CQ4rMC&printsec=frontcover&dq=intitle:market%2Bintitle:systemic&hl=&cd=8&source=gbs_api","The Limits of Marke",
"Market Structures and Systemic Risks of Exchange-traded Funds","intitle:market+intitle:systemic","[Srichander Ramaswamy]",,"""Crisis experience has shown that as the financial intermediation chain lengthens, it becomes complicated to assess the risks of financial products due to a lack of transparency as to how risks are managed at different levels of the intermediation chain. Exchange-traded funds, which have become popular among investors seeking exposure to a diversified portfolio of assets, share this characteristic, especially when their returns are replicated using derivative products. As the volume of such products grows, such replication strategies can lead to a build-up of systemic risks in the financial system. This article examines the operational frameworks of exchange-traded funds and identifies potential channels through which risks to financial stability can materialise.""--Abstract.","2011","http://books.google.es/books?id=ypTZlAEACAAJ&dq=intitle:market%2Bintitle:systemic&hl=&cd=9&source=gbs_api","OCLC:728059907",
"Liquidity Shocks, Systemic Risk, and Market Collapse: Theory and Application to the Market for Perps","intitle:market+intitle:systemic","[Chitru S. Fernando and Richard J. Herring]",,,"2002","http://books.google.es/books?id=fjunB3vUKxQC&dq=intitle:market%2Bintitle:systemic&hl=&cd=10&source=gbs_api","UOMDLP:b2073390:0001.001",
