"title","authors","categories","description","published","previewLink","industryId",
"Environmental impacts of international civil engineering projects and practices. proceedings of a session","[Charles G. Gunnerson, John M. Kalbermatten, ASCE Technical Council on Research. Environmental Impact Analysis Research Council]","[Technology & Engineering]",,"1978-06","http://books.google.es/books?id=wQFSAAAAMAAJ&dq=intitle:civil%2Bintitle:engineering%2Bintitle:impacts&hl=&cd=1&source=gbs_api","UOM:39015002029273",
"An Expert System Utility Prototype for the Evaluation of Environmental Impacts of Civil Engineering Projects","[K. G. Mercer]",,,"1994*","http://books.google.es/books?id=gI7rHwAACAAJ&dq=intitle:civil%2Bintitle:engineering%2Bintitle:impacts&hl=&cd=2&source=gbs_api","OCLC:104632110",
"Modelling Soft Impacts for Vibrational Excitation of Civil Engineering Structures","[L. Ågårdh]",,,"1993","http://books.google.es/books?id=FP8LNAAACAAJ&dq=intitle:civil%2Bintitle:engineering%2Bintitle:impacts&hl=&cd=3&source=gbs_api","9178484367",
"Probable Impacts of Space Operations on Air Force Civil Engineering","[John W. Mogge]",,,"1989","http://books.google.es/books?id=ado0GwAACAAJ&dq=intitle:civil%2Bintitle:engineering%2Bintitle:impacts&hl=&cd=4&source=gbs_api","OCLC:24766897",
"Possible Impacts of Future Sea Level Change on Civil Engineering Practice","[Robert George Dean]",,,"1988*","http://books.google.es/books?id=qrmQPwAACAAJ&dq=intitle:civil%2Bintitle:engineering%2Bintitle:impacts&hl=&cd=5&source=gbs_api","OCLC:19476426",
"The Impacts of A-76 on the Personnel of Air Force Civil Engineering Squadrons","[Adam Preston Pauly]",,,"2010","http://books.google.es/books?id=GLObkgEACAAJ&dq=intitle:civil%2Bintitle:engineering%2Bintitle:impacts&hl=&cd=6&source=gbs_api","OCLC:713891087",
"Validity of Brownian motion theory of activated processes. sublimation","[Arian Leigh Pregenzer]","[Mathematics]",,"1983","http://books.google.es/books?id=jzNBAQAAIAAJ&dq=intitle:%22brownian+motion+theory%22&hl=&cd=1&source=gbs_api","UCSD:31822000236190",
"Brownian Motion Theory of Capture and Release of Negative Ions by Quantized Vortex Lines in HE II.","[Joseph L. McCauley]",,,"1972","http://books.google.es/books?id=0iBdygAACAAJ&dq=intitle:%22brownian+motion+theory%22&hl=&cd=2&source=gbs_api","OCLC:702767328",
"Brownian Motion Theory of the Spin Van Der Waals Model","[Suhk Kun Oh]",,,"1983","http://books.google.es/books?id=timgtgAACAAJ&dq=intitle:%22brownian+motion+theory%22&hl=&cd=3&source=gbs_api","OCLC:10817652",
"Brownian Motion Theory of Capture and Release of Negative Ions by Quantitized Vortex Lines in HeII.","[Joseph Lee McCauly]",,,"1972","http://books.google.es/books?id=l3seHwAACAAJ&dq=intitle:%22brownian+motion+theory%22&hl=&cd=4&source=gbs_api","OCLC:122393732",
