"title","query","authors","categories","description","published","previewLink","industryId",
"Systemic Risk, Systemic Importance and Banking Sector Risk Contagion Dependencies","intitle:risk+intitle:systemic","[Wolfgang Lahmann]",,,"2012","http://books.google.es/books?id=oEBYkgEACAAJ&dq=intitle:risk%2Bintitle:systemic&hl=&cd=1&source=gbs_api","OCLC:819522554",
"Systemic Risk: Regulatory Oversight and Recent Initiatives to Address Risk Posed by Credit Default Swaps. Congressional Testimony","intitle:risk+intitle:systemic","[Orice M. Williams]","[Business & Economics]","The U.S. financial system is more prone to systemic risk today than ever before. Credit default swaps (CDS) are one of the products that have assumed a key role in financial markets. This statement discusses: (1) the extent to which U.S. financial regulators and the UK regulator oversee CDS; (2) risks and challenges that CDS present to the stability of financial markets and institutions and similar concerns that other products may pose; and (3) the recent steps that financial regulators and the industry have taken to address risks pose by CDS and similar efforts that may be warranted for other financial products. Illustrations.","2009-09","http://books.google.es/books?id=GyllxQ4vQo8C&printsec=frontcover&dq=intitle:risk%2Bintitle:systemic&hl=&cd=2&source=gbs_api","1437913830",
"Global Governance of Financial Systems:The International Regulation of Systemic Risk. The International Regulation of Systemic Risk","intitle:risk+intitle:systemic","[Kern Alexander, Rahul Dhumale, John Eatwell]","[Business & Economics]","The book sets forth the economic rationale for international financial regulation and what role, if any, international regulation can play in effectively managing systemic risk while providing accountability to all affected nations. The book suggests that a particular type of global governance structure is necessary to have more efficient regulation of the international financial system.","2005-09-08","http://books.google.es/books?id=Ms-ROC8zTAwC&printsec=frontcover&dq=intitle:risk%2Bintitle:systemic&hl=&cd=3&source=gbs_api","0195166981",
"New Directions for Understanding Systemic Risk. A Report on a Conference Cosponsored by the Federal Reserve Bank of New York and the National Academy of Sciences","intitle:risk+intitle:systemic","[National Research Council]","[Business & Economics]","The stability of the financial system and the potential for systemic events to alter its function have long been critical issues for central bankers and researchers. Recent events suggest that older models of systemic shocks might no longer capture all of the possible paths of such disturbances or account for the increasing complexity of the financial system. To help assess these concerns, the Federal Reserve Bank of New York and the NRC cosponsored a conference that brought together engineers, scientists, economists, and financial market experts to promote better understanding of systemic risk in a variety of fields. The book presents an examination of tools used in ecology and engineering to study systemic collapse in those areas; a review of current trends in economic research on systemic risk, the payments system, and the market of interbank funds; and for context, descriptions of how systemic risk in the financial system affects trading activities.","2007-12-17","http://books.google.es/books?id=1jGlL5OFf2oC&printsec=frontcover&dq=intitle:risk%2Bintitle:systemic&hl=&cd=4&source=gbs_api","0309107520",
"Globalization And Systemic Risk","intitle:risk+intitle:systemic","[Douglas Darrell Evanoff, David S. Hoelscher, George G. Kaufman]","[Business & Economics]","The impact of globalization of financial markets is a highly debated topic, particularly in recent months when the issue of globalization and contagion of financial distress has become a focus of intense policy debate. The papers in this volume provide an up-to-date overview of the key issues in this debate. While most of the contributions were prepared after the initial outbreak of the current global turmoil and financial crisis, they identify the relative strengths of the risk diversification and risk transmission processes and examine the empirical evidence to date. The book considers the relative roles of banks, nonblank financial institutions and capital markets in both risk diversification and risk transmission. It then evaluates the current status of crisis resolution in a global context, and speculates where to go from here in terms of understanding, resolution, prevention and public policy. Book jacket.","2009-01-19","http://books.google.es/books?id=J4qjkwkDGIoC&printsec=frontcover&dq=intitle:risk%2Bintitle:systemic&hl=&cd=5&source=gbs_api","9812833374",
"Moral Hazard, Systemic Risk, and a Functional Approach to Prudential Regulation","intitle:risk+intitle:systemic","[Warren Pat Hogan, Ian G. Sharpe]",,,"1996","http://books.google.es/books?id=J4ptAAAACAAJ&dq=intitle:risk%2Bintitle:systemic&hl=&cd=6&source=gbs_api","0947069070",
"Risk Management and Its Implications for Systemic Risk","intitle:risk+intitle:systemic","[United States Congress Senate Committee]",,"The BiblioGov Project is an effort to expand awareness of the public documents and records of the U.S. Government via print publications. In broadening the public understanding of government and its work, an enlightened democracy can grow and prosper. Ranging from historic Congressional Bills to the most recent Budget of the United States Government, the BiblioGov Project spans a wealth of government information. These works are now made available through an environmentally friendly, print-on-demand basis, using only what is necessary to meet the required demands of an interested public. We invite you to learn of the records of the U.S. Government, heightening the knowledge and debate that can lead from such publications.","2010-12-31","http://books.google.es/books?id=1bdZYgEACAAJ&dq=intitle:risk%2Bintitle:systemic&hl=&cd=7&source=gbs_api","1240543662",
"OECD Reviews of Risk Management Policies Systemic Financial Risk","intitle:risk+intitle:systemic","[OECD]",,"This report analyses the results of simulations using an agent based model of financial markets to show how excessive levels of leverage in financial markets can lead to a systemic crash. Investors overload on risky assets betting more than they ...","2012-06-26","http://books.google.es/books?id=JtPMobKRPdIC&dq=intitle:risk%2Bintitle:systemic&hl=&cd=8&source=gbs_api","9264167714",
"Uncontrolled Risk: Lessons of Lehman Brothers and How Systemic Risk Can Still Bring Down the World Financial System","intitle:risk+intitle:systemic","[Mark Williams]","[Business & Economics]","How Excessive Risk Destroyed Lehman and Nearly Brought Down the Financial Industry “Uncontrolled Risk will ruffle feathers—and for good reason—as voters and legislators learn the diffi cult lessons of Lehman’s collapse and demand that we never forget them.” Dr. David C. Shimko, Board of Trustees, Global Association of Risk Professionals “Uncontrolled Risk is a drama as gripping as any work of fiction. Williams’s recommendations for changes in the governance of financial institutions should be of interest to anyone concerned about the welfare of global financial markets.” Geoffrey Miller, Stuyvesant Comfort Professor of Law and Director, Center for the Study of Central Banks and Financial Institutions, New York University “The complex balance of free enterprise on Wall Street and the healthy regulation of its participants is the central economic issue of today. Williams’s forensic study of Lehman’s collapse may be the best perspective so far on the issues that now face regulators.” Jeffrey P. Davis, CFA, Chief Investment Officer, Lee Munder Capital Group “Provides a very perceptive analysis of the fl aws inherent in risk management systems and modern fi nancial markets. Mandatory reading for risk managers and financial industry executives.” Vincent Kaminski, Professor in the Practice of Management, Jesse H. Jones Graduate School of Business, Rice University “Gives the reader much food for thought on the regulation of our financial system and its interplay with corporate governance reform in the United States and around the world.” Professor Charles M. Elson, Edgar S. Woolard Jr. Chair in Corporate Governance, University of Delaware The risk taking behind Wall Street's largest bankruptcy . . . In this dramatic and compelling account of Lehman Brothers’ spectacular rise and fall, author Mark T. Williams explains how uncontrolled risk toppled a 158-year-old institution—and what it says about Wall Street, Washington, D.C., and the world financial system. A former trading floor executive and Fed bank examiner, Williams sees Lehman’s 2008 collapse as a microcosm of the industry—a worst-case scenario of smart decisions, stupid mistakes, ignored warnings, and important lessons in money, power, and policy that affect us all. This book reveals: The Congressional inquisition of disgraced CEO Dick Fuld: Did he really deserve it? How the investment-banking money machine broke down: Can it be fixed? The key drivers that caused the financial meltdown: Can lessons be learned from them? The wild risk taking denounced by President Obama: Is Washington to blame, too? The ongoing debate on reform and regulation: Can meaningful reform avert another financial catastrophe? This fascinating account traces Lehman’s history from its humble beginnings in 1850 to its collapse in 2008. Lehman’s story exemplifies the everchanging trends in finance—from investment vehicles to federal policies—and exposes the danger and infectious nature of uncontrolled risk. Drawing upon first-person interviews with risk management experts and former Lehman employees, Williams provides more than just a frontline report: it’s a call to action for Wall Street bankers, Washington policymakers, and U.S. citizens—a living lesson in risk management on which to build a stronger fi nancial future. Williams provides a tenpoint plan to implement today—so another Lehman doesn’t collapse tomorrow. Includes a ten-point plan to ensure a strong financial future for both Wall Street and Main Street","2010-03-22","http://books.google.es/books?id=HSkjB_PGp98C&dq=intitle:risk%2Bintitle:systemic&hl=&cd=9&source=gbs_api","0071638296",
"Experts' Perspectives on Systemic Risk and Resolution Issues","intitle:risk+intitle:systemic","[United States Congress House Of Represen]",,"The BiblioGov Project is an effort to expand awareness of the public documents and records of the U.S. Government via print publications. In broadening the public understanding of government and its work, an enlightened democracy can grow and prosper. Ranging from historic Congressional Bills to the most recent Budget of the United States Government, the BiblioGov Project spans a wealth of government information. These works are now made available through an environmentally friendly, print-on-demand basis, using only what is necessary to meet the required demands of an interested public. We invite you to learn of the records of the U.S. Government, heightening the knowledge and debate that can lead from such publications.","2010-12-31","http://books.google.es/books?id=9JJjYgEACAAJ&dq=intitle:risk%2Bintitle:systemic&hl=&cd=10&source=gbs_api","124056029X",
